Timestamp,X,Y,Z
[1.72615805e+09],-9.19,-0.41,3.63
[1.72615805e+09],-9.19,-0.48,3.66
[1.72615805e+09],-9.16,-0.42,3.66
[1.72615805e+09],-9.17,-0.41,3.61
[1.72615805e+09],-9.12,-0.44,3.55
[1.72615805e+09],-9.15,-0.45,3.6
[1.72615805e+09],-9.13,-0.44,3.55
[1.72615805e+09],-9.11,-0.47,3.58
[1.72615805e+09],-9.09,-0.42,3.54
[1.72615805e+09],-9.11,-0.4,3.56
[1.72615805e+09],-9.11,-0.42,3.58
[1.72615805e+09],-9.14,-0.42,3.54
[1.72615805e+09],-9.12,-0.39,3.58
[1.72615805e+09],-9.11,-0.42,3.54
[1.72615805e+09],-9.16,-0.38,3.52
[1.72615805e+09],-9.18,-0.4,3.53
[1.72615805e+09],-9.14,-0.4,3.47
[1.72615805e+09],-9.14,-0.39,3.55
[1.72615805e+09],-9.15,-0.4,3.54
[1.72615805e+09],-9.15,-0.39,3.55
[1.72615805e+09],-9.15,-0.42,3.56
[1.72615805e+09],-9.17,-0.42,3.57
[1.72615805e+09],-9.15,-0.4,3.54
[1.72615805e+09],-9.14,-0.43,3.57
[1.72615805e+09],-9.14,-0.42,3.57
[1.72615805e+09],-9.16,-0.43,3.53
[1.72615805e+09],-9.16,-0.45,3.55
[1.72615805e+09],-9.15,-0.43,3.55
[1.72615805e+09],-9.2,-0.42,3.57
[1.72615805e+09],-9.18,-0.41,3.56
[1.72615805e+09],-9.18,-0.4,3.59
[1.72615805e+09],-9.18,-0.4,3.55
[1.72615805e+09],-9.19,-0.4,3.57
[1.72615805e+09],-9.18,-0.36,3.56
[1.72615805e+09],-9.18,-0.37,3.54
[1.72615805e+09],-9.14,-0.38,3.53
[1.72615805e+09],-9.17,-0.41,3.54
[1.72615805e+09],-9.13,-0.41,3.54
[1.72615805e+09],-9.14,-0.38,3.56
[1.72615805e+09],-9.13,-0.4,3.51
[1.72615805e+09],-9.11,-0.38,3.56
[1.72615805e+09],-9.11,-0.39,3.5
[1.72615805e+09],-9.12,-0.4,3.54
[1.72615805e+09],-9.11,-0.39,3.51
[1.72615805e+09],-9.13,-0.39,3.55
[1.72615805e+09],-9.14,-0.41,3.55
[1.72615805e+09],-9.13,-0.4,3.54
[1.72615805e+09],-9.12,-0.39,3.52
[1.72615805e+09],-9.15,-0.39,3.53
[1.72615805e+09],-9.15,-0.38,3.54
[1.72615805e+09],-9.13,-0.37,3.52
[1.72615805e+09],-9.16,-0.36,3.58
[1.72615805e+09],-9.15,-0.38,3.54
[1.72615805e+09],-9.19,-0.4,3.56
[1.72615805e+09],-9.14,-0.39,3.56
[1.72615805e+09],-9.17,-0.4,3.56
[1.72615805e+09],-9.18,-0.4,3.54
